time,X,Y
2018/12/13 10:00,#CbDbEbMbMbRb#Me#Ee#Re#Rb#CeMe#Eb#Ee#Re#Rb#Eb#Mb#Mb#DeEeMeMeRe,#DbMbMbRb#MeRe#RbRb#Me#Cb#ReRe#EbEbMb#Ee#Mb#Ce#Eb#EeMe#DeEeMe
2018/12/13 11:00,#CbMbMbRb#Me#Re#Rb#Me#DbDb#De#Re#DbRb#De#Mb#Mb#CeDeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#DeMe#ReRe#DbDbMb#De#Mb#Me#CeDeMe
2018/12/13 12:00,#CbMbMbRb#Me#Re#Rb#Me#DbDb#De#Re#DbRb#De#Mb#Mb#CeDeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#DeMe#ReRe#DbMb#De#DbMb#Me#CeDeMe
2018/12/13 13:00,#BbCbMbMbRb#Me#Re#CbRb#CeMe#Re#DbRb#De#Mb#Mb#BeCeMeMeRe,#BbMbMbRb#MeRe#RbRb#Me#CbCb#CeReRe#Mb#DbMb#De#Be#Me#CeMe
2018/12/13 14:00,#CbDbMbMbRb#Me#Bb#De#Bb#Re#Rb#Me#Be#Re#Rb#Ce#Mb#Mb#BeMeMeRe,#BbCbMbMbRb#MeRe#RbRb#Me#ReRe#Mb#Bb#Mb#Be#Me#Db#BeCeDeMe
2018/12/13 15:00,#DbMbMbRb#Me#CbCb#Re#Rb#Me#Ce#Re#Rb#De#Mb#Mb#CeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#Me#ReRe#Mb#Cb#Mb#Ce#Me#CeDeMe
2018/12/13 16:00,#CbDbMbMbRb#Me#Re#Rb#CeMe#Eb#Ee#Re#Rb#Mb#Mb#DeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#Me#ReRe#EbMb#Ee#Mb#Ce#Me#DeMe
2018/12/13 17:00,#CbDbMbMbRb#Me#Re#DbRb#DeMe#DbEb#DeRe#Rb#Db#DeEe#DbMb#De#Mb#CeDeMeMeRe,#CbDbDbEbMbMbRb#DeDeMeRe#DbDbRbRb#DeDeEeMe#ReRe#DbMb#Mb#Ce#Me#DeMe
2018/12/13 18:00,#CbDbMbMbRb#Me#Re#Rb#Me#DbDb#De#Re#Rb#Mb#De#Mb#CeDeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#DeMe#ReRe#DbDbMb#De#Mb#Ce#Me#DeMe
2018/12/13 19:00,#CbDbMbMbRb#Me#Re#Rb#Me#Db#Re#Rb#De#Mb#Mb#CeDeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#DeMe#ReRe#DbMb#Mb#Ce#Me#DeMe
2018/12/13 20:00,#CbDbMbMbRb#Me#Re#Rb#Me#Db#De#Re#Rb#Mb#Mb#CeDeMeMeRe,#CbMbMbRb#MeRe#RbRb#Me#ReRe#DbDbMb#De#Mb#Ce#Me#DeMe
2018/12/13 21:00,#CbDbMbMbRb#Me#BbCb#Re#Rb#BeCeMe#Db#De#Re#EbRb#Ee#Mb#Mb#CeDeMeMeRe,#CbMbMbRb#MeRe#RbRb#Me#ReRe#DbDbMb#De#Bb#EbMb#BeCe#Cb#CeEe#Me#DeMe
2018/12/13 22:00,#CbDbEbMbMbRb#Me#Re#Rb#EeMe#Re#Rb#Mb#Mb#CeDeMeMeRe,#CbMbMbRb#MeRe#RbRb#Me#Db#ReRe#Mb#Mb#Eb#Ce#Me#DeEeMe
2018/12/13 23:00,#CbDbEbMbMbRb#Me#Ee#Re#Rb#Me#Eb#Ee#Re#Rb#Mb#Ce#Mb#DeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#Me#ReRe#EbMb#Ee#Mb#Ce#Eb#Me#DeEeMe
2018/12/14 00:00,#CbDbMbMbRb#Me#Re#DbRb#DeMe#Re#Rb#Mb#Ce#Mb#DeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#Me#Db#DeReRe#Mb#Mb#Ce#Me#DeMe
2018/12/14 01:00,#CbDbMbMbRb#Me#Re#DbRb#DeMe#Re#Rb#Mb#Mb#CeDeMeMeRe,#CbMbMbRb#MeRe#RbRb#Me#DbDb#DeReRe#Mb#Mb#Ce#Me#DeMe
2018/12/14 02:00,#CbDbEbMbMbRb#Me#Re#Rb#Me#Re#Rb#Ee#Mb#Ce#Mb#DeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#Me#ReRe#Mb#Mb#Ce#Eb#Me#DeEeMe
2018/12/14 03:00,#CbDbEbMbMbRb#Me#Ee#Cb#Re#Rb#CeMe#Re#Rb#Mb#Ce#Mb#DeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#CeMe#ReRe#Mb#Cb#Mb#Ce#Eb#Ee#Me#DeMe
2018/12/14 04:00,#CbDbEbMbMbRb#Me#Ee#Re#Rb#CeMe#Eb#Ee#Re#Rb#Mb#Mb#DeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#Me#ReRe#EbMb#Ee#Mb#Ce#Eb#Ee#Me#DeMe
2018/12/14 05:00,#CbDbEbMbMbRb#Me#Ee#Re#Rb#Me#Re#Rb#Mb#Ce#Mb#DeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#Me#ReRe#Mb#Mb#Ce#Eb#Ee#Me#DeMe
2018/12/14 06:00,#DbEbMbMbRb#Me#Ee#CbCb#Re#Rb#CeMe#Re#Rb#Mb#Ce#Mb#DeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#Me#CeReRe#Mb#Cb#EbMb#Ce#EeMe#DeMe
2018/12/14 07:00,#DbEbMbMbRb#Me#Cb#EeRe#CbRb#CeMe#EbFb#EeFe#Eb#EeRe#Rb#Mb#Ce#Mb#DeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#CeMe#ReRe#EbFbMb#EeFe#CbEb#Ee#EbMb#Ce#Me#DeEeMe
2018/12/14 08:00,#DbEbMbMbRb#Me#Re#Rb#Me#Re#Rb#Mb#Mb#DeEeMeMeRe,#DbMbMbRb#MeRe#RbRb#Me#ReRe#EbMb#Mb#De#Me#EeMe
2018/12/14 09:00,#EbMbMbRb#Me#Db#Re#EbRb#DeEeMe#Fb#Fe#Re#Rb#Mb#Mb#EeMeMeRe,#EbMbMbRb#MeRe#RbRb#Me#ReRe#EbFbMb#EeFe#Db#Mb#De#Me#EeMe
2018/12/14 10:00,#EbMbMbRb#Me#Db#Re#EbRb#DeEeMe#Fb#Fe#Re#FbRb#Fe#Mb#Mb#EeMeMeRe,#EbMbMbRb#MeRe#RbRb#Me#ReRe#EbFbMb#EeFe#Db#FbMb#De#Fe#Me#EeMe
2018/12/14 11:00,#EbMbMbRb#Me#Db#Re#Rb#DeMe#FbFb#Fe#Re#DbRb#Eb#EeFe#EbMb#Ee#Mb#DeEeMeMeRe,#DbEbEbFbMbMbRb#EeMeRe#EbRbRb#EeFeMe#ReRe#FbMb#DeFe#Db#Mb#De#Me#EeMe
2018/12/14 12:00,#DbMbMbRb#Me#Eb#EeRe#EbFbRb#EeMe#EbEb#Ee#Eb#Re#CbRb#Fe#Db#DeEe#DbMb#De#Mb#CeDeEeMeMeRe,#CbDbDbEbMbMbRb#DeMeRe#DbRbRb#DeEeMe#ReRe#EbMb#CeEe#EbMb#Eb#Ee#EbFb#Me#DeEeEeFeMe
2018/12/14 13:00,#DbEbMbMbRb#Me#Ee#Re#EbRb#Me#Re#Rb#De#Db#Mb#Mb#DeEeMeMeRe,#DbEbMbMbRb#MeRe#RbRb#Me#ReRe#DbMb#Mb#Eb#De#Me#DeEeEeMe
2018/12/14 14:00,#DbMbMbRb#Me#Re#Rb#Me#Eb#Re#Rb#Mb#Mb#DeEeMeMeRe,#DbMbMbRb#MeRe#RbRb#Me#ReRe#EbMb#Mb#Me#DeEeMe
2018/12/14 15:00,#DbMbMbRb#Me#Re#Rb#Me#Eb#Ee#Eb#Re#Rb#Mb#Mb#DeEeMeMeRe,#DbMbMbRb#MeRe#EbRbRb#Me#ReRe#EbMb#Ee#Mb#Me#DeEeMe
2018/12/14 16:00,#DbMbMbRb#Me#Re#Rb#Me#Eb#Ee#Eb#Re#Rb#Ee#Mb#Mb#DeMeMeRe,#DbMbMbRb#MeRe#RbRb#Me#ReRe#EbMb#Ee#EbMb#Me#DeEeMe
2018/12/14 17:00,#EbMbMbRb#Me#Db#Db#Re#Rb#Me#Eb#De#Re#Rb#Ee#Mb#Mb#DeEeMeMeRe,#DbEbEbMbMbRb#MeRe#RbRb#EeMe#ReRe#Mb#De#Db#Mb#De#Me#EeMe
2018/12/14 18:00,#DbEbMbMbRb#Me#Db#Re#FbRb#DeMe#Re#Rb#Fe#Mb#De#Mb#EeMeMeRe,#DbEbMbMbRb#MeRe#RbRb#Me#DeReRe#Mb#Db#Mb#De#Fb#Me#EeFeMe
2018/12/14 19:00,#DbEbEbFbMbMbRb#Me#Ee#Eb#EeRe#EbRb#DeEeMe#Re#Rb#Mb#Mb#EeFeMeMeRe,#DbEbMbMbRb#MeRe#RbRb#Me#ReRe#FbMb#EbMb#DeEeEe#Eb#Ee#Eb#Me#EeFeMe
2018/12/14 20:00,#DbEbMbMbRb#Me#Cb#Re#Rb#CeMe#De#Re#FbRb#Fe#Mb#Mb#EeMeMeRe,#DbEbMbMbRb#MeRe#RbRb#Me#ReRe#Mb#Cb#FbMb#CeFe#De#Me#EeMe
2018/12/14 21:00,#DbDbEbMbMbRb#Me#De#Cb#Re#Rb#CeMe#Re#EbRb#Ee#Mb#Mb#DeEeMeMeRe,#DbMbMbRb#MeRe#RbRb#Me#Eb#ReRe#Mb#Cb#EbMb#Ce#EeMe#Db#DeDeEeMe
2018/12/14 22:00,#CbDbEbMbMbRb#Me#Db#DeDe#Db#Re#DbRb#CeDeMe#Re#Rb#Mb#Mb#DeEeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#Me#ReRe#EbMb#DbMb#CeDeDe#Db#De#Me#Db#DeEeMe
2018/12/14 23:00,#CbDbEbMbMbRb#Me#Db#DeDe#Db#Re#Rb#CeMe#Re#Rb#Mb#Mb#DeEeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#Me#ReRe#Mb#DbEbMb#CeDe#DeMe#Db#DeEeMe
2018/12/15 00:00,#DbEbMbMbRb#Me#Cb#Re#Rb#CeMe#Eb#Ee#Re#Rb#Ee#Mb#Mb#DeMeMeRe,#DbMbMbRb#MeRe#RbRb#Me#ReRe#EbMb#Ee#Cb#EbMb#Ce#Me#DeEeMe
2018/12/15 01:00,#DbEbMbMbRb#Me#Cb#Re#Rb#CeMe#Re#Rb#Eb#Ee#Mb#Mb#DeEeMeMeRe,#DbMbMbRb#MeRe#RbRb#Me#ReRe#EbMb#Cb#EbMb#Ce#EeMe#DeEeMe
2018/12/15 02:00,#DbEbMbMbRb#Me#Cb#Re#Rb#CeMe#Re#Rb#Ee#Mb#Mb#DeMeMeRe,#DbMbMbRb#MeRe#RbRb#Me#ReRe#Mb#Cb#EbMb#Ce#Me#DeEeMe
